Sno,Candidate,Constituency,Party,Result,Criminal Cases,Cases details(convicted),Cases details(accused),Serious IPC Detail,Other IPC Detail,Education,Movable Assets,Immovable Assets,Total Assets,Liabilities,PAN Given (Y or N)  
767,SREENIVAS M HARAPANAHALLI,Hubli-Dharwad-East ,RAHS,L,0,No Cases ,No Cases,,,graduate_professional,220000,0,220000,0,N 
768,F.H. JAKKAPPANAVAR,Hubli-Dharwad-East ,INC,L,0,No Cases ,No Cases,,,graduate,963597,5587000,6550597,886527,Y 
769,RAMACHANDRA KALINGAPPA MAHAR,Hubli-Dharwad-East ,IND,L,0,No Cases ,No Cases,,,post_graduate,2732683,0,2732683,28000,Y 
770,GOVINDRAJ ALLAPPA HARIWAN,Hubli-Dharwad-East ,SP,L,0,No Cases ,No Cases,,,graduate,743000,6750000,7493000,0,Y 
771,HIREKERUR SHIVU YALLAPPA,Hubli-Dharwad-East ,JD(S),L,0,No Cases ,No Cases,,,graduate,412467,6418000,6830467,502280,Y 
772,SHOBHA VASUDEV BALLARI (HUKKERI),Hubli-Dharwad-East ,BSP,L,0,No Cases ,No Cases,,,graduate,260000,4200000,4460000,15000,N 
773,RAJESH BASAVARAJ,Hubli-Dharwad-East ,IND,L,0,No Cases ,No Cases,,,10th,20000,0,20000,0,N 
774,PRASHANT SUGUR,Hubli-Dharwad-West,IND,L,0,No Cases ,No Cases,,,graduate_professional,5494000,3566000,9060000,0,Y 
775,PATIL V B,Hubli-Dharwad-West,IND,L,0,No Cases ,No Cases,,,literate,20000,0,20000,0,N 
776,BELLAD CHANDRAKANT GURAPPA,Hubli-Dharwad-West,BJP,W,0,No Cases ,No Cases,,,10th,20578113,34200000,54778113,7652000,Y 
777,P. H. NEERALKERI,Hubli-Dharwad-West,BSP,L,0,No Cases ,No Cases,,,graduate_professional,913000,6750000,7663000,2280000,N 
778,NADAF IMAMSAB MUGUTSAB,Hubli-Dharwad-West,SP,L,0,No Cases ,No Cases,,,graduate,173000,1500000,1673000,100000,Y 
779,NINGAPPA DYAMAPPA BENGERI,Hubli-Dharwad-West,IND,L,0,No Cases ,No Cases,,,10th,164000,4700000,4864000,2324000,Y 
780,HONNALLI JABBARKHAN HAYATAKHAN,Hubli-Dharwad-West,INC,L,0,No Cases ,No Cases,,,graduate_professional,1083000,4175000,5258000,0,N 
781,REETA PAVATE,Hubli-Dharwad-West,IND,L,0,No Cases ,No Cases,,,10th,10000,0,10000,0,N 
782,RAMANJANAPPA ALDHALLI,Hubli-Dharwad-West,IND,L,0,No Cases ,No Cases,,,12th,43292,0,43292,0,N 
783,RAJSHEKHAR. B. PATIL,Hubli-Dharwad-West,JD(U),L,0,No Cases ,No Cases,,,post_graduate,70000,550000,620000,0,N 
784,TAMATGAR MOHMAD ISMAIL,Hubli-Dharwad-West,JD(S),L,1,No Cases ,"(1):IPC Sections -  504,324,332,353, , Other Details - 1st A.C.J.Court 
No.CC585/08, Dated:29-09-2007, 
For Being Against Police Work. 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
",10th,316006,2500000,2816006,1212650,N 
785,APPAYYAGOUDA BASAGOUDA PATIL,Hukkeri,INC,L,0,No Cases ,No Cases,,,graduate_professional,5706000,14770000,20476000,200000,Y 
786,MALAGOUDA SARAPURE,Hukkeri,SKP,L,1,No Cases ,"(1):IPC Sections -  324, 326, 504, 34 , Other Details - Court:J.M.F.C court, Sankeshwar,
C.C.No:386/2007,
Case is still Pending 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
1 charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
",10th,241000,1200000,1441000,80000,N 
787,SHASHIKANT AKKAPPA NAIK,Hukkeri,BJP,L,1,No Cases ,"(1):IPC Sections -   , Other Details - 174/A,Railway Act (Amendement )2003 case no.338/07 
",,,10th,2520244,13100000,15620244,1580000,Y 
788,SHIVA KUMAR NAYAK,Hukkeri,RAHS,L,0,No Cases ,No Cases,,,8th,88000,0,88000,36686,N 
789,UMESH VISHWANATH KATTI,Hukkeri,JD(S),W,0,No Cases ,No Cases,,,12th,13525084,9460521,22985605,126000,Y 
790,BASAVARAJ MALAGOUDA PATIL,Hukkeri,BSP,L,0,No Cases ,No Cases,,,graduate,263000,1600000,1863000,1325000,N 
791,SANADI ASHOK VITHAL,Hukkeri,LJP,L,0,No Cases ,No Cases,,,12th,280000,700000,980000,0,N 
792,DODDANAGOUDA G PATIL,Hungund,BJP,W,0,No Cases ,No Cases,,,12th,5356722,57550000,62906722,8181000,Y 
793,T ABDUL ZABBAR ISMAILSAAB,Hungund,BSP,L,0,No Cases ,No Cases,,,literate,200000,2500000,2700000,0,Y 
794,KASHAPPANAVAR VIJAYANAND SHIVASHANKARAPPA,Hungund,INC,L,5,No Cases ,"(1):IPC Sections -  504,341,506 , Other Details - C.C.No.366/2003
Hungud P.S.gunne No.157/2002 Court:J.M.F.C, Hungund
Decision making date:17-01-2003
 
(2):IPC Sections -  353,504,506 , Other Details - C.C.No.523/2004
Illakal P.S.gunne No.127/2003
Court:J.M.F.C, Hungund
Decision making date:08-04-2004
 
(3):IPC Sections -  143,147,148,457,427,504,506 , Other Details - C.C.NO.648/2005 Ilkal P.S.gunne No.58/2004
Court:J.M.F.C, Hungund
Decision making date:08-04-2005 
(4):IPC Sections -  326,427,504,506 RW 334 , Other Details - C.C.NO.737/2004 Ilkal P.S.gunne No.77/2004
Court:J.M.F.C, Hungund
Decision making date:02-06-2004 
(5):IPC Sections -  504,506, RW 34 , Other Details - C.C.NO.937/2005 Hungud P.S.gunne No. 48/2005
Court:J.M.F.C, Hungund
Decision making date:20-07-2005 
","1 charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326) 
","5 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
5 charges related to  criminal intimidation (IPC Section-506) 
2 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to Lurking house trespass or house-breaking by night in order to commit offence punishable with imprisonment (IPC Section-457) 
1 charges related to Voluntarily causing hurt on provocation (IPC Section-334) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
1 charges related to  wrongful restraint (IPC Section-341) 
",12th,506870,3543000,4049870,0,Y 
795,HONGAL NAGARAJ SHESHAPPA,Hungund,JD(U),L,0,No Cases ,No Cases,,,not_given,245000,0,245000,0,Y 
796,B V PATIL,Hungund,JD(S),L,0,No Cases ,No Cases,,,post_graduate,200000,9600000,9800000,320000,Y 
797,H.P MANJUNATHA,Hunsur,INC,W,0,No Cases ,No Cases,,,graduate,13080653,53557558,66638211,30503849,Y 
798,B.N.VASUKI,Hunsur,IND,L,0,No Cases ,No Cases,,,not_given,10000,0,10000,0,N 
799,HUNSUR K. CHANDRASHEKAR,Hunsur,IND,L,0,No Cases ,No Cases,,,graduate_professional,100000,0,100000,0,N 
800,B.RAJANNA,Hunsur,IND,L,0,No Cases ,No Cases,,,8th,22000,200000,222000,329427,N 
801,G. MOHIYUDDIN,Hunsur,IND,L,0,No Cases ,No Cases,,,12th,150000,0,150000,0,N 
802,CHIKKAMADU.S,Hunsur,JD(S),L,0,No Cases ,No Cases,,,graduate,5508513,5645000,11153513,889000,N 
803,H.D MAHADEVANAYAKA,Hunsur,BSP,L,0,No Cases ,No Cases,,,not_given,730000,0,730000,0,N 
804,L.REVANNA,Hunsur,IND,L,0,No Cases ,No Cases,,,10th,38000,50000,88000,0,N 
805,NANDINI K.S.,Hunsur,IND,L,0,No Cases ,No Cases,,,12th,300000,1800000,2100000,0,N 
806,G.T DEVEGOWDA,Hunsur,BJP,L,0,No Cases ,No Cases,,,8th,1987766,20767000,22754766,3716244,Y 
807,RAJU,Hunsur,IND,L,0,No Cases ,No Cases,,,8th,22000,200000,222000,329427,N 
808,P.K.RAMU,Hunsur,IND,L,0,No Cases ,No Cases,,,12th,0,12000,12000,0,N 
809,MANJUNATHA,Hunsur,IND,L,0,No Cases ,No Cases,,,not_given,20000,0,20000,0,N 
810,M.R.PATIL (BALLOLLI),Indi,JD(S),L,0,No Cases ,No Cases,,,10th,100750,2600000,2700750,1220000,N 
811,DR BAGALI SARVABHOUM SATAGOUDA,Indi,BJP,W,1,No Cases ,"(1):IPC Sections -  420,468,471,201 , Other Details - J.M.No.128/94(1518/99) 
",,"1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 
1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420) 
1 charges related to Forgery for purpose of cheating (IPC Section-468) 
1 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 
",graduate_professional,6113000,74100000,80213000,400000,N 
812,K.SREENIVASA,Jagalur,JD(S),L,0,No Cases ,No Cases,,,not_given,100000,0,100000,0,N 
813,HUTCHAVVANAHALLI MANJUNATHA,Jagalur,SKP,L,0,No Cases ,No Cases,,,12th,121000,0,121000,125000,N 
814,A.S.KARIBASAPPA,Jagalur,SUP,L,0,No Cases ,No Cases,,,literate,360000,0,360000,0,N 
815,S.V.RAMACHANDRA,Jagalur,INC,W,0,No Cases ,No Cases,,,12th,1290000,6000000,7290000,9511528,Y 
816,K.P.PALAIAH,Jagalur,BSP,L,0,No Cases ,No Cases,,,graduate,100000,1000000,1100000,1725652,N 
817,D.CHOWDAPPA,Jagalur,CPI(ML)(L),L,0,No Cases ,No Cases,,,literate,0,0,0,0,N 
818,H.P.RAJESH,Jagalur,BJP,L,0,No Cases ,No Cases,,,graduate,420000,9740000,10160000,0,Y 
819,S.VISWANATH,Jagalur,IND,L,0,No Cases ,No Cases,,,graduate,1135000,900000,2035000,0,Y 
820,S.PANDURANGAPPA,Jagalur,SP,L,0,No Cases ,No Cases,,,5th,150000,480000,630000,50000,N 
821,KULKARNI SHRIKANTH  SUBBRAO.,Jamkhandi,BJP,W,0,No Cases ,No Cases,,,graduate,2103200,9800000,11903200,1876000,N 
822,RAMESH KALLAPPA NAIK,Jamkhandi,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,1529000,5450000,6979000,573000,N 
823,SIDDU. B.NYAMAGOUDA,Jamkhandi,INC,L,0,No Cases ,No Cases,,,graduate,18118976,8400000,26518976,0,Y 
824,SHIRAGUPPI SADASHIV GURAPPA,Jamkhandi,RAHS,L,2,No Cases ,"(1):IPC Sections -  U/S488, 323,353,504,506 R/W 134 , Other Details - C.C.NO 15/2004, 1st Addl. CJM Jamkhandi and JMFC Court, Beelagi. 
(2):IPC Sections -  U/s143,147,148,436,295,332,336,307,R/W 149 and Sec.3a , Other Details - C.C.No.11/2004, 1st Addl. CJM Jamkhandi and JMFC Court, Beelagi.  
","1 charges related to Injuring or defiling place of worship with intent to insult the religion of any class (IPC Section-295) 
1 charges related to Attempt to murder (IPC Section-307) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Abetment of such assault, if the assault is committed (IPC Section-134) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 
1 charges related to Mischief by fire or explosive substance with intent to destroy house, etc. (IPC Section-436) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Act endangering life or personal safety of others (IPC Section-336) 
1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
1 charges related to  making use of any such false mark (IPC Section-488) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
",not_given,171000,300000,471000,28000,N 
825,UPADDYE PARSHWANATH TAVANAPPA,Jamkhandi,BSP,L,0,No Cases ,No Cases,,,12th,226000,750000,976000,287000,N 
826,NANAJAGI SURESH SATTAYAPPA,Jamkhandi,SP,L,0,No Cases ,No Cases,,,10th,228200,200000,428200,0,N 
827,M.SURESH,Jayanagar,INC,L,0,No Cases ,No Cases,,,not_given,5324528,14000000,19324528,9164554,Y 
828,ANUJ KUMAR,Jayanagar,LKPT,L,0,No Cases ,No Cases,,,graduate_professional,38150,3000000,3038150,3262000,Y 
829,NARAYAN RAJU.K,Jayanagar,JD(S),L,0,No Cases ,No Cases,,,12th,10800000,181000000,191800000,119600000,Y 
830,L.A.BALAKRISHNA,Jayanagar,SUP,L,0,No Cases ,No Cases,,,post_graduate,630100,10300000,10930100,475000,Y 
831,K.S.SAMEEULLA,Jayanagar,IND,L,0,No Cases ,No Cases,,,not_given,425150,0,425150,0,Y 
832,B.N.VIJAYA KUMAR,Jayanagar,BJP,W,0,No Cases ,No Cases,,,graduate_professional,758288,0,758288,0,Y 
833,DR.K.VENKATESH,Jayanagar,BSP,L,1,No Cases ,"(1):IPC Sections -  417,419,420,465,471 , Other Details - CR 7401,
C.C.no.175
Date:21-07-2003,
Jnanabharathi police station
 
",,"1 charges related to  forgery (IPC Section-465) 
1 charges related to Using as genuine a forged document or electronic record (IPC Section-471) 
1 charges related to  cheating (IPC Section-417) 
1 charges related to  cheating by personation (IPC Section-419) 
1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420) 
",not_given,300000,0,300000,0,N 
834,ASGAR RAFIUDDIN,Jayanagar,INL,L,0,No Cases ,No Cases,,,graduate,125000,0,125000,0,N 
835,KALLALINGA I HUGAR,Jevargi,IND,L,0,No Cases ,No Cases,,,graduate,10000,440000,450000,170000,N 
836,KHAJA HUSSAIN GUDUR,Jevargi,SP,L,0,No Cases ,No Cases,,,10th,50000,1500000,1550000,0,N 
837,DODDAPPAGOUDA SHIVALINGAPPAGOUD PATIL NARIBOL,Jevargi,BJP,W,0,No Cases ,No Cases,,,12th,280000,9300000,9580000,123000,N 
838,BASAWARAJ H BUDIHAL,Jevargi,JD(S),L,0,No Cases ,No Cases,,,graduate,200000,0,200000,0,N 
839,S.M.S HUSSAIN,Jevargi,IND,L,0,No Cases ,No Cases,,,not_given,5000,0,5000,0,N 
840,ALLISAB BAGARIKUR MALLI,Jevargi,LJP,L,0,No Cases ,No Cases,,,10th,100000,0,100000,0,N 
841,A.SYED PATEL YALWAR,Jevargi,IND,L,0,No Cases ,No Cases,,,10th,50000,1000000,1050000,0,N 
842,OSMAN PATEL SIGARATHALLI,Jevargi,IND,L,0,No Cases ,No Cases,,,not_given,100000,2500000,2600000,663066,N 
843,KEDARLINGAYYA HIREMATH,Jevargi,IND,L,0,No Cases ,No Cases,,,graduate,671579,5300000,5971579,240000,Y 
844,SHIVANAND,Jevargi,IND,L,0,No Cases ,No Cases,,,post_graduate,100000,0,100000,0,N 
845,BABASAHEB BHEEMARAO SERI,Jevargi,IND,L,0,No Cases ,No Cases,,,graduate_professional,100000,400000,500000,1000,Y 
846,BHEEMAYYA SOMAYYA,Jevargi,IND,L,0,No Cases ,No Cases,,,graduate,50000,1000000,1050000,0,N 
847,M.D.AMEER CHARAM,Jevargi,IND,L,0,No Cases ,No Cases,,,10th,50000,0,50000,0,N 
848,SIDDANNAGOUDA  SHANKARGOUD PATIL (KURALAGERA),Jevargi,JD(U),L,0,No Cases ,No Cases,,,graduate,200000,2000000,2200000,0,N 
849,APPOJI BASANNA,Jevargi,BSP,L,0,No Cases ,No Cases,,,graduate,530000,0,530000,0,N 
850,MAHANTESH,Jevargi,IND,L,0,No Cases ,No Cases,,,10th,100000,0,100000,0,N 
851,MOHAMMAD ALI,Jevargi,IND,L,0,No Cases ,No Cases,,,graduate_professional,100000,0,100000,0,N 
852,N.S.NANDIESHA REDDY,K.R. Pura,BJP,W,1,No Cases ,"(1):IPC Sections -  332, 143, 147, 427 , Other Details - 149 
",,"1 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 
1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
",12th,8503482,353986107,362489589,6365904,Y 
853,GOWRAMMA,K.R. Pura,CPM,L,1,No Cases ,"(1):IPC Sections -  143, 147, 448, 341, 342, 323, 353, 506b , Other Details - 149 of Indian Panel Code for the offence of Physically assaulted and theartening etc.,C.C.No.-22163/2000 
",,"1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to  wrongful Confinement (IPC Section-342) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  rioting (IPC Section-147) 
1 charges related to  house-trespass (IPC Section-448) 
",8th,57600,1600000,1657600,0,N 
854,AMBUJAKSHI,K.R. Pura,ANC,L,0,No Cases ,No Cases,,,graduate,192000,0,192000,0,N 
855,A.KRISHNAPPA,K.R. Pura,INC,L,0,No Cases ,No Cases,,,graduate,6855355,0,6855355,14935317,Y 
856,ABRAHAM.T.J,K.R. Pura,BSP,L,2,No Cases ,"(1):IPC Sections -  341, 326 , Other Details - Case No.CC-24441/2001  
(2):IPC Sections -  353 , Other Details - Case No.CC-24283/99 
","1 charges related to Voluntarily causing grievous hurt by dangerous weapons or means (IPC Section-326) 
","1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
",graduate,1225000,13000000,14225000,0,Y 
857,L.MUNISWAMY,K.R. Pura,JD(S),L,0,No Cases ,No Cases,,,10th,3145822,37750000,40895822,1900000,Y 
858,B.T.NAGANNA,K.R. Pura,LKPT,L,0,No Cases ,No Cases,,,graduate_professional,1667954,50000,1717954,1445512,Y 
859,KUNKANADU SHIVAKUMARA,Kadur,BSP,L,0,No Cases ,No Cases,,,post_graduate,2075000,10700000,12775000,3350000,N 
860,S.G.JAGADEESHA,Kadur,SKP,L,0,No Cases ,No Cases,,,not_given,25000,0,25000,0,N 
861,DR. VISHWANATHA Y.C,Kadur,BJP,L,0,No Cases ,No Cases,,,graduate_professional,946472,5327000,6273472,2258011,Y 
862,MARIYAPPA,Kadur,IND,L,0,No Cases ,No Cases,,,5th,265000,280000,545000,0,N 
863,K.M.KRISHNAMURTHY,Kadur,INC,W,0,No Cases ,No Cases,,,graduate,4468511,6500000,10968511,700000,N 
864,BIRUR DEVARAJ,Kadur,IND,L,0,No Cases ,No Cases,,,10th,12638836,63360000,75998836,374980,Y 
865,G.E.HEMANTHA KUMAR,Kadur,SUP,L,0,No Cases ,No Cases,,,8th,10000,300000,310000,0,N 
866,Y.S.V DATTA,Kadur,JD(S),L,2,No Cases ,"(1):IPC Sections -  120(B) 420 R/W 34 , Other Details - 7th A.C.M.M court,
Banglore,
C.C.No.16952/95,
Date:7/11/1995 
(2):IPC Sections -  341,323,506,R.W.34 , Other Details - 1st A.C.M.M court,Banglore,
C.C.no.2462/96,
Date:4/7/1996 
",,"1 charges related to  wrongful restraint (IPC Section-341) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 
1 charges related to Cheating and dishonestly inducing delivery of property (IPC Section-420) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
",graduate,2315342,2366000,4681342,0,Y 
867,BHARAMGOUDA ALAGOUDA KAGE,Kagwad,BJP,W,0,No Cases ,No Cases,,,graduate,10800,850000,860800,115000,N 
868,ANAND SHANTAPPA SADALAGE,Kagwad,BSP,L,0,No Cases ,No Cases,,,10th,19000,1200000,1219000,35000,N 
869,ANNASAB IRAPPA SATTIKAR,Kagwad,JD(U),L,0,No Cases ,No Cases,,,graduate,325000,680000,1005000,0,N 
870,DIGVIJAYA YASHAWANTRAO PAWAR DESAI,Kagwad,INC,L,0,No Cases ,No Cases,,,graduate,1912792,7456000,9368792,1420319,Y 
871,SRIDHAR MAHADEV JOSHI,Kagwad,RAHS,L,0,No Cases ,No Cases,,,not_given,570378,750000,1320378,0,N 
872,VARDHAMAN TIPPANNA UDAGAVE,Kagwad,SP,L,0,No Cases ,No Cases,,,not_given,0,0,0,500000,N 
873,SRIMANT BALASAHEB PATIL,Kagwad,JD(S),L,0,No Cases ,No Cases,,,graduate,0,0,0,5000000,Y 
874,SHRAVAN MARUTI KAMBLE,Kagwad,RPI(A),L,0,No Cases ,No Cases,,,graduate,160000,300000,460000,0,N 
875,SANTOSH.S. LAD,Kalghatgi,INC,W,0,No Cases ,No Cases,,,graduate,537316575,73595915,610912490,13430000,Y 
876,IRAPPA CHANABASAPPA GOKUL,Kalghatgi,JD(S),L,0,No Cases ,No Cases,,,graduate_professional,665000,2200000,2865000,0,N 
877,IRAPPA CHANNAPPA SALAGAR,Kalghatgi,SP,L,0,No Cases ,No Cases,,,graduate,0,36000,36000,210000,N 
878,CHANNABASAPPA SHIDDABASAPPA KUSUGAL,Kalghatgi,IND,L,0,No Cases ,No Cases,,,10th,50000,1900000,1950000,369,N 
879,CHANNAPPA MALLAPPA NIMBANNAVAR,Kalghatgi,BJP,L,0,No Cases ,No Cases,,,not_given,769000,1700000,2469000,205525,Y 
880,G.BASAVARAJ,Kalghatgi,IND,L,0,No Cases ,No Cases,,,not_given,40000,800000,840000,38000,N 
881,DODAMANI BHIMAPPA IRABASAPPA,Kalghatgi,IND,L,1,No Cases ,"(1):IPC Sections -   , Other Details - Court:J.M.F.C 2nd Court, Dharwad, Case No.224/07;  225/07; 226/07 
",,,graduate,80000,862500,942500,30000,N 
882,AMBADAGATTI SHIVANAND RUDRAPPA,Kalghatgi,IND,L,0,No Cases ,No Cases,,,10th,1003721,8500000,9503721,0,N 
883,KASHIMANAVAR BABUSAB KASHIMASAB,Kalghatgi,BSP,L,0,No Cases ,No Cases,,,8th,465000,9600000,10065000,18500,N 
884,IRAPPA KALLAPPA KOTI,Kalghatgi,RAHS,L,0,No Cases ,No Cases,,,literate,33000,50000,83000,290,N 
885,GREGORY SUBRAMANYA XAVIER,Kalghatgi,IND,L,0,No Cases ,No Cases,,,graduate,130000,800000,930000,700000,N 
886,KULKARNI SUVARNA GOVINDARAO,Kalghatgi,JD(U),L,0,No Cases ,No Cases,,,graduate_professional,25000,0,25000,0,N 
887,S.B. MARAPPA,Kampli,JD(S),L,0,No Cases ,No Cases,,,5th,716000,3050000,3766000,1050000,N 
888,T.H. SURESH BABU,Kampli,BJP,W,0,No Cases ,No Cases,,,graduate_professional,10876875,5000000,15876875,0,Y 
889,T. CHAKRAVARTHI NAYAKA,Kampli,JD(U),L,0,No Cases ,No Cases,,,5th,243000,6030000,6273000,770000,N 
890,SANNA HANUMAKKA,Kampli,INC,L,0,No Cases ,No Cases,,,illiterate,1400000,2300000,3700000,0,N 
891,K.LAXMINARAYANA,Kanakagiri,BSP,L,0,No Cases ,No Cases,,,10th,100000,6500000,6600000,400000,N 
892,K.PAMPAPATI,Kanakagiri,LJP,L,0,No Cases ,No Cases,,,5th,105093,270000,375093,6000,N 
893,D.DASANNA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,12th,150000,110000,260000,0,N 
894,KANAKAPPA SULEKAL,Kanakagiri,SP,L,0,No Cases ,No Cases,,,5th,25000,0,25000,50000,Y 
895,SHAMANNA HULAGAPPA NARINAL,Kanakagiri,BJP,L,0,No Cases ,No Cases,,,graduate,1550000,1060000,2610000,835000,N 
896,YAMANURAPPA NADULAMANI,Kanakagiri,JD(S),L,0,No Cases ,No Cases,,,post_graduate,1846000,2820000,4666000,750000,Y 
897,B.HUSENAPPASWAMI,Kanakagiri,IND,L,2,No Cases ,"(1):IPC Sections -  384,143,147,323,324,353,504,506 R/W 149 , Other Details - Crime no.42/03,
CC 331/03,
Date:28-03-2005 
(2):IPC Sections -  143,147,323,341,504,506 R/W 149 , Other Details - Crime no.41/03,
CC 454/03,
Date;28-03-2005 
","1 charges related to  extortion (IPC Section-384) 
1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","2 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
2 charges related to  criminal intimidation (IPC Section-506) 
2 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 
2 charges related to Punishment (IPC Section-143) 
2 charges related to  rioting (IPC Section-147) 
2 charges related to  voluntarily causing hurt (IPC Section-323) 
1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 
1 charges related to  wrongful restraint (IPC Section-341) 
",5th,205000,1200000,1405000,145000,N 
898,ERAPPA,Kanakagiri,SUP,L,0,No Cases ,No Cases,,,not_given,50000,0,50000,0,N 
899,VIJAYAKUMAR,Kanakagiri,JD(U),L,0,No Cases ,No Cases,,,literate,598000,0,598000,50000,N 
900,HANUMANTHAPPA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,graduate_professional,125000,1000000,1125000,300000,N 
901,SHIVARAJ,Kanakagiri,IND,W,0,No Cases ,No Cases,,,12th,5287810,4140000,9427810,3175812,N 
902,MAREPPA JAMBANNA,Kanakagiri,CPI(ML)(L),L,0,No Cases ,No Cases,,,literate,150000,800000,950000,800000,N 
903,MARAPPA RAMACHANDRAPPA MOTI(VESHAGARA),Kanakagiri,IND,L,0,No Cases ,No Cases,,,8th,300000,320000,620000,765000,Y 
904,MUKAPPA NINGAPPA MESTRI,Kanakagiri,IND,L,0,No Cases ,No Cases,,,8th,10000,350000,360000,50000,N 
905,BALASWAMI MALLAPPA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,graduate_professional,60000,100000,160000,0,N 
906,R.PALANISWAMI RAMASWAMI,Kanakagiri,IND,L,1,No Cases ,"(1):IPC Sections -  143,448,323,324,504,506 R/W 34 IPC , Other Details - CC no.219/2007 Pending (16-06-2008),
Town police station,Gangavati 
","1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 
","1 charges related to Intentional insult with intent to 	provoke breach of the peace (IPC Section-504) 
1 charges related to  criminal intimidation (IPC Section-506) 
1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 
1 charges related to Punishment (IPC Section-143) 
1 charges related to  house-trespass (IPC Section-448) 
1 charges related to  voluntarily causing hurt (IPC Section-323) 
",literate,900000,0,900000,250000,Y 
907,V.NAGAPPA MASTAR NARASAPPA HUNAGUNDA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,graduate_professional,75000,410000,485000,0,N 
908,BHAVANIMATH MUKUNDARAO,Kanakagiri,INC,L,0,No Cases ,No Cases,,,not_given,1010000,861200,1871200,553327,N 
909,SHIVAPPA KRISHNAPPA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,illiterate,5000,240000,245000,851974,Y 
910,F.SHANMUKAPPA,Kanakagiri,IND,L,0,No Cases ,No Cases,,,10th,1400000,93200000,94600000,17500000,N 
